SHAP_DXY_Index,SHAP_SP500_Index,SHAP_KLCI_Index,SHAP_copper_price_t1,Trade_Date
-0.20502867,-0.0017998578,-0.037485756,0.6521122,2026-04-02
-0.22263245,-0.006321523,-0.03743418,0.4293938,2026-04-06
-0.15740281,0.008426027,-0.041920945,0.6631885,2026-04-07
0.09786645,0.045721322,-0.060830593,0.73183453,2026-04-08
0.103181355,0.029294644,-0.0550575,0.9142689,2026-04-09
0.10738835,0.032358192,-0.07537011,0.9141729,2026-04-10
0.108852096,0.04474991,-0.079803325,0.9455148,2026-04-13
0.11255209,0.04262103,-0.08085833,0.9374918,2026-04-14
0.11220405,0.044067975,-0.080234505,0.93603873,2026-04-15
0.11220405,0.044067975,-0.080234505,0.93603873,2026-04-15
0.10954361,0.044744883,-0.079201736,0.9437583,2026-04-16
0.10954361,0.044744883,-0.079201736,0.9437583,2026-04-16
0.11255209,0.04262103,-0.08085833,0.9374918,2026-04-17
0.11255209,0.04262103,-0.08085833,0.9374918,2026-04-17
0.11255209,0.04262103,-0.08085833,0.9374918,2026-04-20
0.11255209,0.04262103,-0.08085833,0.9374918,2026-04-20
0.11689747,0.04420189,-0.08020638,0.9454285,2026-04-21
0.11689747,0.04420189,-0.08020638,0.9454285,2026-04-21
0.10742837,0.045012936,-0.075840734,0.94403833,2026-04-22
0.10742837,0.045012936,-0.075840734,0.94403833,2026-04-22
0.11495282,0.04760196,-0.06655827,0.94646144,2026-04-23
0.11495282,0.04760196,-0.06655827,0.94646144,2026-04-23
0.10695145,0.045147076,-0.07580384,0.9442492,2026-04-24
0.10695145,0.045147076,-0.07580384,0.9442492,2026-04-24
0.10979215,0.04433107,-0.07683393,0.9449057,2026-04-27
0.10979215,0.04433107,-0.07683393,0.9449057,2026-04-27
0.10743491,0.04639324,-0.07506243,0.9441335,2026-04-28
0.10743491,0.04639324,-0.07506243,0.9441335,2026-04-28
0.08781702,0.055145454,-0.058115643,0.922689,2026-04-29
0.08781702,0.055145454,-0.058115643,0.922689,2026-04-29
0.11220405,0.044067975,-0.080234505,0.93603873,2026-04-30
0.11220405,0.044067975,-0.080234505,0.93603873,2026-04-30
0.108852096,0.04474991,-0.079803325,0.9455148,2026-05-04
0.108852096,0.04474991,-0.079803325,0.9455148,2026-05-04
0.10979215,0.04433107,-0.07683393,0.9449057,2026-05-05
0.10979215,0.04433107,-0.07683393,0.9449057,2026-05-05
0.11220405,0.044067975,-0.080234505,0.93603873,2026-05-06
0.11220405,0.044067975,-0.080234505,0.93603873,2026-05-06
0.11220405,0.044067975,-0.080234505,0.93603873,2026-05-07
0.11220405,0.044067975,-0.080234505,0.93603873,2026-05-07
0.123355426,0.044835694,-0.08085883,0.9343425,2026-05-08
0.123355426,0.044835694,-0.08085883,0.9343425,2026-05-08
0.11220405,0.044067975,-0.080234505,0.93603873,2026-05-11
0.11220405,0.044067975,-0.080234505,0.93603873,2026-05-11
0.108852096,0.04474991,-0.079803325,0.9455148,2026-05-12
0.108852096,0.04474991,-0.079803325,0.9455148,2026-05-12
0.10695145,0.045147076,-0.07580384,0.9442492,2026-05-13
0.10695145,0.045147076,-0.07580384,0.9442492,2026-05-13
0.10804942,0.04815122,-0.054702304,0.9451288,2026-05-14
0.10804942,0.04815122,-0.054702304,0.9451288,2026-05-14
